Change component parameters: Designator = "C4" ("C4"); Footprint = "0603C"; UniqueID = "\PWOTTEYZ" ("\PWOTTEYZ")
Change component parameters (AddParameter): Name = "Capacity (nF)"; Value = "1000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Path2"; Value = "Schematic\Capacitor.SchLib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufactore"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "Capacitor_1u_10_50V_X7R_0603C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rate"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shop"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0,1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1 мк"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (V)"; Value = "50"; VariantName = "[No Variations]"
Change component parameters: Designator = "C5" ("C5"); Footprint = "42x103_radial"; UniqueID = "\RXQSRNXL" ("\RXQSRNXL")
Change component parameters (AddParameter): Name = "Capacity (uF)"; Value = "2700"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufactore"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "JCCON 2700uF 400V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rate"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shop"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Aluminum"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "2700 мк"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (V)"; Value = "400"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6" ("C6"); Footprint = "1812C"; UniqueID = "\MYHQMDJH" ("\MYHQMDJH")
Change component parameters (AddParameter): Name = "Capacity (nF)"; Value = "100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Library Path2"; Value = "Schematic\Capacitor.SchLib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufactore"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "Capacitor_0,1u_10_1000V_X7R_1812C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rate"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shop"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0,1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0,1 мк"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (V)"; Value = "1000"; VariantName = "[No Variations]"
Change component parameters: Designator = "R3" ("R3"); Footprint = "0603R"; UniqueID = "\HNMWYHJV" ("\HNMWYHJV")
Change component parameters (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufactore"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "Resistor_1.8k_1_0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rate"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shop"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1,8 к"; VariantName = "[No Variations]"
Change component parameters: Designator = "R4" ("R4"); Footprint = "0603R"; UniqueID = "\CXJUQHMR" ("\CXJUQHMR")
Change component parameters (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufactore"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "Resistor_100_1_0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rate"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shop"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100"; VariantName = "[No Variations]"
Change component parameters: Designator = "R5" ("R5"); Footprint = "0603R"; UniqueID = "\VMVWVSMJ" ("\VMVWVSMJ")
Change component parameters (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufactore"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "Resistor_39k_1_0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rate"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shop"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "39 к"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6" ("R6"); Footprint = "0603R"; UniqueID = "\ABBLODEO" ("\ABBLODEO")
Change component parameters (AddParameter): Name = "Case"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufactore"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "Resistor_510k_1_0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rate"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shop"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "510 к"; VariantName = "[No Variations]"
